symbol,results_date,relative_change_7D,higher_highs_count,is_delivery_increasing
CSBBANK,2021-10-25,-5.17,0,False
CADILAHC,2021-10-29,-5.21,0,False
KPRMILL,2021-10-27,-5.35,1,False
TRENT,2021-11-02,-5.35,0,False
GANGAFORGE,2021-10-21,-5.43,2,False
RPGLIFE,2021-10-29,-5.43,0,False
EMMBI,2021-11-02,-5.44,1,False
POONAWALLA,2021-10-27,-5.46,0,False
PUNJABCHEM,2021-10-29,-5.5,2,True
COSMOFILMS,2021-10-27,-5.51,1,False
GATI,2021-10-26,-5.51,0,False
AMIORG,2021-10-23,-5.55,2,True
VIPIND,2021-10-29,-5.56,0,False
FSC,2021-10-28,-5.62,1,False
JAYBARMARU,2021-10-26,-5.64,1,False
VGUARD,2021-10-28,-5.64,0,False
GSCLCEMENT,2021-10-29,-5.78,1,False
DLINKINDIA,2021-11-01,-5.82,1,False
CROMPTON,2021-10-22,-5.86,0,False
CHEMFAB,2021-10-29,-6.02,1,False
GODREJPROP,2021-11-02,-6.04,2,False
SKFINDIA,2021-10-27,-6.1,0,False
SESHAPAPER,2021-10-23,-6.12,1,False
CCL,2021-10-28,-6.15,0,False
EMAMIPAP,2021-10-28,-6.19,0,False
PDMJEPAPER,2021-10-30,-6.19,1,False
PHILIPCARB,2021-10-27,-6.43,0,False
LALPATHLAB,2021-10-26,-6.51,1,False
CONTROLPR,2021-10-22,-6.51,1,True
TATACHEM,2021-10-27,-6.62,1,True
NACLIND,2021-10-29,-6.73,1,False
ORBTEXP,2021-10-25,-6.76,1,False
MCDOWELL-N,2021-10-27,-6.88,0,False
GNFC,2021-10-28,-6.88,1,False
MOL,2021-10-26,-7.04,0,False
PREMEXPLN,2021-10-28,-7.08,1,False
REFEX,2021-10-28,-7.12,0,False
ARTEMISMED,2021-10-26,-7.22,0,False
PIONDIST,2021-10-22,-7.22,0,False
BALAMINES,2021-10-27,-7.31,1,False
CARBORUNIV,2021-11-01,-7.32,1,False
CHOLAHLDNG,2021-11-02,-7.34,1,False
MOLDTKPAC,2021-11-01,-7.36,1,False
NCLIND,2021-11-02,-7.48,0,False
FAIRCHEMOR,2021-10-28,-7.53,0,False
ASHIMASYN,2021-10-26,-7.75,0,False
THEINVEST,2021-11-01,-7.88,1,False
JKPAPER,2021-10-27,-7.89,0,False
IIFLSEC,2021-10-21,-7.9,1,False
DALMIASUG,2021-10-29,-7.91,0,True
SUBROS,2021-10-22,-7.93,1,False
DATAMATICS,2021-10-27,-7.94,1,False
GMDCLTD,2021-10-25,-7.96,1,False
AEGISCHEM,2021-10-27,-8.02,0,False
EIHAHOTELS,2021-10-28,-8.04,0,False
MARALOVER,2021-10-28,-8.11,1,True
DGCONTENT,2021-10-25,-8.14,1,False
UMANGDAIRY,2021-10-28,-8.15,0,False
SRF,2021-10-25,-8.17,1,False
APCOTEXIND,2021-10-28,-8.26,0,True
PIIND,2021-10-26,-8.47,1,False
NOCIL,2021-11-02,-8.59,0,False
MFL,2021-10-26,-8.82,1,False
BCLIND,2021-10-29,-8.85,1,False
NDRAUTO,2021-10-26,-9.06,1,True
EXCEL,2021-10-26,-9.23,1,False
PRAKASH,2021-10-25,-9.32,0,False
TATVA,2021-10-23,-9.39,1,False
WELSPUNIND,2021-10-27,-9.44,0,False
POLYCAB,2021-10-22,-9.44,1,False
CHEMPLASTS,2021-10-29,-9.78,1,False
AMJLAND,2021-10-29,-9.85,0,False
ATUL,2021-10-29,-10.0,1,False
INDIAMART,2021-10-21,-10.53,0,False
CHAMBLFERT,2021-11-01,-10.71,1,True
GNA,2021-10-29,-10.99,1,False
IRISDOREME,2021-10-22,-11.1,1,True
DEEPAKNTR,2021-10-27,-11.15,2,False
ABAN,2021-11-01,-11.27,1,False
SUVEN,2021-10-25,-11.42,0,False
GSFC,2021-10-28,-12.04,0,False
SONACOMS,2021-10-27,-13.22,2,False
GENESYS,2021-10-26,-13.26,1,False
PNBHOUSING,2021-11-02,-15.66,0,False
PRAXIS,2021-10-27,-16.78,0,True
